TIME,theta1,theta1Dot,theta1Ddot,theta2,theta2Dot,theta2Ddot,theta3,theta3Dot,theta3Ddot,omega_x,omega_y,omega_z,Omega_x,Omega_y,Omega_z
0,0,0.000145439804603711,-0,0,0,-0,0,0,-0,8.94703978538063e-37,-8.92879305214994e-39,7.21110255092798e-05,-6.35725412605881e-57,6.34428904231039e-59,-5.12379653438301e-25
778.378378378378,0.113207199259105,0.000145439804603711,-0,0,0,-0,0,0,-0,-1.1299226466784e-20,-2.56334841213991e-22,7.21101626201764e-05,2.81133229612071e-28,6.37780311638431e-30,-1.79415493307056e-12
1556.75675675676,0.22641439851821,0.000145439804603711,-0,0,0,-0,0,0,-0,5.27111733826171e-21,1.12582692514393e-20,7.21162758689991e-05,-1.78234700176605e-28,-3.80681004760087e-28,-2.43850060291073e-12
2335.13513513513,0.339621597777314,0.000145439804603711,-0,0,0,-0,0,0,-0,7.98048832073907e-21,1.25071027222062e-20,7.21266046926165e-05,-2.78673272877268e-28,-4.36739596592331e-28,-2.51861241861386e-12
3113.51351351351,0.452828797036419,0.000145439804603711,-0,0,0,-0,0,0,-0,9.65149174536245e-22,4.20979581511246e-21,7.21327097064067e-05,-4.86373853807948e-29,-2.12146958041451e-28,-3.63503020373744e-12
3891.89189189189,0.566035996295524,0.000145439804603711,-0,0,0,-0,0,0,-0,2.39577581057238e-21,1.44853407771133e-20,7.21401435860337e-05,-1.59881291764605e-28,-9.66674337755365e-28,-4.81424818370779e-12
4670.27027027027,0.679243195554629,0.000145439804603711,-0,0,0,-0,0,0,-0,-1.43880005541436e-21,7.70636176613952e-21,7.21466107459548e-05,1.11976116126203e-28,-5.99755648318525e-28,-5.61488528763951e-12
5448.64864864865,0.792450394813733,0.000145439804603711,-0,0,0,-0,0,0,-0,2.03638420127622e-22,4.94705192818864e-21,7.2141470260144e-05,-2.14578954238505e-29,-5.21283375037492e-28,-7.60172920019141e-12
6227.02702702703,0.905657594072838,0.000145439804603711,-0,0,0,-0,0,0,-0,-3.48047447988423e-21,8.4033499064546e-21,7.21395743129825e-05,3.99694808784774e-28,-9.65033748537539e-28,-8.28444901046987e-12
7005.4054054054,1.01886479333194,0.000145439804603711,-0,0,0,-0,0,0,-0,9.43660813864232e-21,3.98980045217108e-21,7.21501775398582e-05,-8.07022992781912e-28,-3.4120953781355e-28,-6.1703157906417e-12
