time,OmegaDot_x,OmegaDot_y,OmegaDot_z
0,1.33333333333333e-06,1e-06,2e-06
2.5,1.33334166664931e-06,9.99995833327546e-07,1.99999583333044e-06
5,1.33336666638889e-06,9.99983333240742e-07,1.99998333328704e-06
7.5,1.33340833192708e-06,9.99962499531263e-07,1.99996249976564e-06
10,1.33346666222221e-06,9.99933331851926e-07,1.99993333259271e-06
12.5,1.33354165581591e-06,9.99895829716718e-07,1.99989583152532e-06
15,1.33363331083315e-06,9.99849992500844e-07,1.99984999625129e-06
17.5,1.33374162498217e-06,9.99795819440784e-07,1.99979582638926e-06
20,1.3338665955545e-06,9.9973330963437e-07,1.99973332148875e-06
22.5,1.33400821942495e-06,9.99662462040861e-07,1.99966248103036e-06
25,1.33416649305154e-06,9.99583275481046e-07,1.99958330442588e-06
27.5,1.33434141247553e-06,9.99495748637358e-07,1.99949579101845e-06
30,1.33453297332135e-06,9.99399880053995e-07,1.99939994008279e-06
32.5,1.33474117079661e-06,9.99295668137051e-07,1.99929575082539e-06
35,1.33496599969203e-06,9.9918311115467e-07,1.9991832223847e-06
37.5,1.33520745438143e-06,9.99062207237213e-07,1.99906235383144e-06
40,1.33546552882167e-06,9.98932954377432e-07,1.99893314416887e-06
42.5,1.33574021655264e-06,9.9879535043065e-07,1.998795592333e-06
45,1.33603151069718e-06,9.98649393114967e-07,1.99864969719299e-06
47.5,1.33633940396106e-06,9.98495080011483e-07,1.99849545755143e-06
50,1.33666388863292e-06,9.9833240856452e-07,1.9983328721447e-06
52.5,1.33700495658422e-06,9.98161376081854e-07,1.99816193964335e-06
55,1.33736259926921e-06,9.97981979734972e-07,1.99798265865246e-06
57.5,1.33773680772481e-06,9.97794216559353e-07,1.99779502771209e-06
60,1.33812757257062e-06,9.97598083454734e-07,1.99759904529766e-06
62.5,1.33853488400882e-06,9.97393577185397e-07,1.99739470982044e-06
65,1.33895873182413e-06,9.97180694380479e-07,1.99718201962798e-06
67.5,1.3393991053837e-06,9.969594315343e-07,1.99696097300466e-06
70,1.3398559936371e-06,9.96729785006689e-07,1.99673156817212e-06
72.5,1.3403293851162e-06,9.96491751023312e-07,1.99649380328983e-06
75,1.34081926793516e-06,9.9624532567604e-07,1.99624767645563e-06
77.5,1.34132562979026e-06,9.95990504923329e-07,1.99599318570632e-06
80,1.3418484579599e-06,9.95727284590595e-07,1.9957303290182e-06
82.5,1.3423877393045e-06,9.95455660370592e-07,1.9954591043077e-06
85,1.34294346026642e-06,9.95175627823832e-07,1.99517950943202e-06
87.5,1.34351560686986e-06,9.94887182379021e-07,1.99489154218974e-06
90,1.34410416472079e-06,9.9459031933348e-07,1.99459520032154e-06
92.5,1.34470911900686e-06,9.94285033853574e-07,1.99429048151084e-06
95,1.34533045449733e-06,9.93971320975184e-07,1.99397738338447e-06
97.5,1.34596815554295e-06,9.93649175604198e-07,1.99365590351352e-06
100,1.34662220607588e-06,9.93318592516976e-07,1.99332603941395e-06
