time,M_x,M_y,M_z
0,0.001,0.001,0.001
2.5,0.001,0.001,0.001
5,0.001,0.001,0.001
7.5,0.001,0.001,0.001
10,0.001,0.001,0.001
12.5,0.001,0.001,0.001
15,0.001,0.001,0.001
17.5,0.001,0.001,0.001
20,0.001,0.001,0.001
22.5,0.001,0.001,0.001
25,0.001,0.001,0.001
27.5,0.001,0.001,0.001
30,0.001,0.001,0.001
32.5,0.001,0.001,0.001
35,0.001,0.001,0.001
37.5,0.001,0.001,0.001
40,0.001,0.001,0.001
42.5,0.001,0.001,0.001
45,0.001,0.001,0.001
47.5,0.001,0.001,0.001
50,0.001,0.001,0.001
52.5,0.001,0.001,0.001
55,0.001,0.001,0.001
57.5,0.001,0.001,0.001
60,0.001,0.001,0.001
62.5,0.001,0.001,0.001
65,0.001,0.001,0.001
67.5,0.001,0.001,0.001
70,0.001,0.001,0.001
72.5,0.001,0.001,0.001
75,0.001,0.001,0.001
77.5,0.001,0.001,0.001
80,0.001,0.001,0.001
82.5,0.001,0.001,0.001
85,0.001,0.001,0.001
87.5,0.001,0.001,0.001
90,0.001,0.001,0.001
92.5,0.001,0.001,0.001
95,0.001,0.001,0.001
97.5,0.001,0.001,0.001
100,0.001,0.001,0.001
