time,Omega_x,Omega_y,Omega_z
0,0,0,0
2.5,3.33334027768229e-06,2.49999652774596e-06,4.99999652776187e-06
5,6.66672222192901e-06,4.99997222212449e-06,9.99997222217336e-06
7.5,1.00001874979601e-05,7.49990624932003e-06,1.499990624966e-05
10,1.33337777688889e-05,9.99977777481492e-06,1.99997777762965e-05
12.5,1.66675346950086e-05,1.24995659631516e-05,2.49995659676875e-05
15,2.00014999324842e-05,1.49992499774967e-05,2.99992499887502e-05
17.5,2.33357151319519e-05,1.74988089791748e-05,3.49988090034818e-05
20,2.66702219377748e-05,1.99982221274209e-05,3.99982221748356e-05
22.5,3.00050619873282e-05,2.24974685791427e-05,4.49974686646034e-05
25,3.33402769096924e-05,2.49965274884854e-05,4.99965276331984e-05
27.5,3.66759083242516e-05,2.74953780063671e-05,5.49953782394246e-05
30,4.00119978399486e-05,2.99939992802314e-05,5.99939996403548e-05
32.5,4.33485870545715e-05,3.24923704538112e-05,6.49923709912135e-05
35,4.66857175534446e-05,3.49904706666942e-05,6.99904714451617e-05
37.5,5.00234309080279e-05,3.74882790538607e-05,7.49882801530703e-05
40,5.33617686751712e-05,3.99857747454372e-05,7.99857762633989e-05
42.5,5.67007723964004e-05,4.24829368664611e-05,8.49829389220804e-05
45,6.00404835966085e-05,4.49797445364485e-05,8.99797472723098e-05
47.5,6.33809437826537e-05,4.74761768689345e-05,9.49761804543208e-05
50,6.67221944426141e-05,4.99722129712285e-05,9.9972217605267e-05
52.5,7.0064277045073e-05,5.24678319441801e-05,0.000104967837859109
55,7.34072330378095e-05,5.49630128817497e-05,0.000109963020346408
57.5,7.6751103846396e-05,5.74577348705523e-05,0.000114957744194106
60,8.00959308734524e-05,5.99519769896144e-05,0.000119951988525411
62.5,8.34417554979311e-05,6.24457183101418e-05,0.000124945732459687
65,8.67886190738069e-05,6.49389378950938e-05,0.00012993895511225
67.5,9.01365629286735e-05,6.74316147987307e-05,0.00013493163559416
70,9.34856283629973e-05,6.99237280663729e-05,0.000139923753012103
72.5,9.6835856649402e-05,7.24152567341712e-05,0.000144915286468291
75,0.000100187289031358,7.49061798286849e-05,0.000149906215060259
77.5,0.000103539966721776,7.73964763664338e-05,0.000154896517880664
80,0.000106893930902265,7.98861253536602e-05,0.000159886174017178
82.5,0.00011024922272241,8.23751057861015e-05,0.000164875162552383
85,0.000113605883298465,8.48633966485729e-05,0.000169863462563579
87.5,0.000116963953711945,8.73509769145252e-05,0.000174851053122594
90,0.000120323475008881,8.98378255458093e-05,0.000179837913295676
92.5,0.0001236844881991,9.2323921492452e-05,0.000184824022143397
95,0.000127047034254915,9.48092436922438e-05,0.000189809358720467
97.5,0.000130411154109717,9.72937710703029e-05,0.000194793902075554
100,0.000133776888657229,9.97774825388431e-05,0.000199777631251181
