time,ad_x,ad_y,ad_z
0.0000000E+00,-2.7623890E-06,4.0708112E-10,0.0000000E+00
1.0000000E+00,-2.7623905E-06,4.0708112E-10,0.0000000E+00
2.0000000E+00,-2.7623921E-06,4.0708112E-10,0.0000000E+00
3.0000000E+00,-2.7623937E-06,4.0708112E-10,0.0000000E+00
4.0000000E+00,-2.7623952E-06,4.0708112E-10,0.0000000E+00
5.0000000E+00,-2.7623968E-06,4.0708112E-10,0.0000000E+00
6.0000000E+00,-2.7623984E-06,4.0708112E-10,0.0000000E+00
7.0000000E+00,-2.7623999E-06,4.0708112E-10,0.0000000E+00
8.0000000E+00,-2.7624015E-06,4.0708112E-10,0.0000000E+00
9.0000000E+00,-2.7624030E-06,4.0708112E-10,0.0000000E+00
1.0000000E+01,-2.7624046E-06,4.0708112E-10,0.0000000E+00
1.1000000E+01,-2.7624062E-06,4.0708112E-10,0.0000000E+00
1.2000000E+01,-2.7624077E-06,4.0708112E-10,0.0000000E+00
1.3000000E+01,-2.7624093E-06,4.0708113E-10,0.0000000E+00
1.4000000E+01,-2.7624109E-06,4.0708113E-10,0.0000000E+00
1.5000000E+01,-2.7624124E-06,4.0708113E-10,0.0000000E+00
1.6000000E+01,-2.7624140E-06,4.0708113E-10,0.0000000E+00
1.7000000E+01,-2.7624155E-06,4.0708113E-10,0.0000000E+00
1.8000000E+01,-2.7624171E-06,4.0708113E-10,0.0000000E+00
1.9000000E+01,-2.7624187E-06,4.0708113E-10,0.0000000E+00
2.0000000E+01,-2.7624202E-06,4.0708113E-10,0.0000000E+00
2.1000000E+01,-2.7624218E-06,4.0708113E-10,0.0000000E+00
2.2000000E+01,-2.7624234E-06,4.0708114E-10,0.0000000E+00
2.3000000E+01,-2.7624249E-06,4.0708114E-10,0.0000000E+00
2.4000000E+01,-2.7624265E-06,4.0708114E-10,0.0000000E+00
2.5000000E+01,-2.7624280E-06,4.0708114E-10,0.0000000E+00
2.6000000E+01,-2.7624296E-06,4.0708115E-10,0.0000000E+00
2.7000000E+01,-2.7624312E-06,4.0708115E-10,0.0000000E+00
2.8000000E+01,-2.7624327E-06,4.0708115E-10,0.0000000E+00
2.9000000E+01,-2.7624343E-06,4.0708116E-10,0.0000000E+00
3.0000000E+01,-2.7624359E-06,4.0708116E-10,0.0000000E+00
3.1000000E+01,-2.7624374E-06,4.0708116E-10,0.0000000E+00
3.2000000E+01,-2.7624390E-06,4.0708117E-10,0.0000000E+00
3.3000000E+01,-2.7624405E-06,4.0708117E-10,0.0000000E+00
3.4000000E+01,-2.7624421E-06,4.0708117E-10,0.0000000E+00
3.5000000E+01,-2.7624437E-06,4.0708118E-10,0.0000000E+00
3.6000000E+01,-2.7624452E-06,4.0708118E-10,0.0000000E+00
3.7000000E+01,-2.7624468E-06,4.0708119E-10,0.0000000E+00
3.8000000E+01,-2.7624484E-06,4.0708120E-10,0.0000000E+00
3.9000000E+01,-2.7624499E-06,4.0708120E-10,0.0000000E+00
4.0000000E+01,-2.7624515E-06,4.0708121E-10,0.0000000E+00
4.1000000E+01,-2.7624530E-06,4.0708121E-10,0.0000000E+00
4.2000000E+01,-2.7624546E-06,4.0708122E-10,0.0000000E+00
4.3000000E+01,-2.7624562E-06,4.0708123E-10,0.0000000E+00
4.4000000E+01,-2.7624577E-06,4.0708124E-10,0.0000000E+00
4.5000000E+01,-2.7624593E-06,4.0708124E-10,0.0000000E+00
4.6000000E+01,-2.7624609E-06,4.0708125E-10,0.0000000E+00
4.7000000E+01,-2.7624624E-06,4.0708126E-10,0.0000000E+00
4.8000000E+01,-2.7624640E-06,4.0708127E-10,0.0000000E+00
4.9000000E+01,-2.7624655E-06,4.0708128E-10,0.0000000E+00
5.0000000E+01,-2.7624671E-06,4.0708129E-10,0.0000000E+00
5.1000000E+01,-2.7624687E-06,4.0708130E-10,0.0000000E+00
