time,theta,beta,gamma
0.0000000E+00,0.0000000E+00,0.0000000E+00,0.0000000E+00
1.0000000E+00,0.0000000E+00,0.0000000E+00,1.6283245E-09
2.0000000E+00,0.0000000E+00,0.0000000E+00,4.8849735E-09
3.0000000E+00,0.0000000E+00,0.0000000E+00,9.7699469E-09
4.0000000E+00,0.0000000E+00,0.0000000E+00,1.6283245E-08
5.0000000E+00,0.0000000E+00,0.0000000E+00,2.4424867E-08
6.0000000E+00,0.0000000E+00,0.0000000E+00,3.4194814E-08
7.0000000E+00,0.0000000E+00,0.0000000E+00,4.5593086E-08
8.0000000E+00,0.0000000E+00,0.0000000E+00,5.8619682E-08
9.0000000E+00,0.0000000E+00,0.0000000E+00,7.3274602E-08
1.0000000E+01,0.0000000E+00,0.0000000E+00,8.9557847E-08
1.1000000E+01,0.0000000E+00,0.0000000E+00,1.0746942E-07
1.2000000E+01,0.0000000E+00,0.0000000E+00,1.2700931E-07
1.3000000E+01,0.0000000E+00,0.0000000E+00,1.4817753E-07
1.4000000E+01,0.0000000E+00,0.0000000E+00,1.7097407E-07
1.5000000E+01,0.0000000E+00,0.0000000E+00,1.9539894E-07
1.6000000E+01,0.0000000E+00,0.0000000E+00,2.2145213E-07
1.7000000E+01,0.0000000E+00,0.0000000E+00,2.4913365E-07
1.8000000E+01,0.0000000E+00,0.0000000E+00,2.7844349E-07
1.9000000E+01,0.0000000E+00,0.0000000E+00,3.0938165E-07
2.0000000E+01,0.0000000E+00,0.0000000E+00,3.4194814E-07
2.1000000E+01,0.0000000E+00,0.0000000E+00,3.7614296E-07
2.2000000E+01,0.0000000E+00,0.0000000E+00,4.1196610E-07
2.3000000E+01,0.0000000E+00,0.0000000E+00,4.4941756E-07
2.4000000E+01,0.0000000E+00,0.0000000E+00,4.8849735E-07
2.5000000E+01,0.0000000E+00,0.0000000E+00,5.2920546E-07
2.6000000E+01,0.0000000E+00,0.0000000E+00,5.7154190E-07
2.7000000E+01,0.0000000E+00,0.0000000E+00,6.1550666E-07
