time,omega_x,omega_y,omega_z
0.0000000E+00,0.0000000E+00,0.0000000E+00,8.1416224E-10
1.0000000E+00,0.0000000E+00,0.0000000E+00,1.6283245E-09
2.0000000E+00,0.0000000E+00,0.0000000E+00,2.4424867E-09
3.0000000E+00,0.0000000E+00,0.0000000E+00,3.2566490E-09
4.0000000E+00,0.0000000E+00,0.0000000E+00,4.0708112E-09
5.0000000E+00,0.0000000E+00,0.0000000E+00,4.8849735E-09
6.0000000E+00,0.0000000E+00,0.0000000E+00,5.6991357E-09
7.0000000E+00,0.0000000E+00,0.0000000E+00,6.5132979E-09
8.0000000E+00,0.0000000E+00,0.0000000E+00,7.3274602E-09
9.0000000E+00,0.0000000E+00,0.0000000E+00,8.1416224E-09
1.0000000E+01,0.0000000E+00,0.0000000E+00,8.9557847E-09
1.1000000E+01,0.0000000E+00,0.0000000E+00,9.7699469E-09
1.2000000E+01,0.0000000E+00,0.0000000E+00,1.0584109E-08
1.3000000E+01,0.0000000E+00,0.0000000E+00,1.1398271E-08
1.4000000E+01,0.0000000E+00,0.0000000E+00,1.2212434E-08
1.5000000E+01,0.0000000E+00,0.0000000E+00,1.3026596E-08
1.6000000E+01,0.0000000E+00,0.0000000E+00,1.3840758E-08
1.7000000E+01,0.0000000E+00,0.0000000E+00,1.4654920E-08
1.8000000E+01,0.0000000E+00,0.0000000E+00,1.5469083E-08
1.9000000E+01,0.0000000E+00,0.0000000E+00,1.6283245E-08
2.0000000E+01,0.0000000E+00,0.0000000E+00,1.7097407E-08
2.1000000E+01,0.0000000E+00,0.0000000E+00,1.7911569E-08
2.2000000E+01,0.0000000E+00,0.0000000E+00,1.8725732E-08
2.3000000E+01,0.0000000E+00,0.0000000E+00,1.9539894E-08
2.4000000E+01,0.0000000E+00,0.0000000E+00,2.0354056E-08
2.5000000E+01,0.0000000E+00,0.0000000E+00,2.1168218E-08
2.6000000E+01,0.0000000E+00,0.0000000E+00,2.1982381E-08
2.7000000E+01,0.0000000E+00,0.0000000E+00,2.2796543E-08
2.8000000E+01,0.0000000E+00,0.0000000E+00,2.3610705E-08
